Blooket Import Template,,,,,,,
Question #,Question Text,Answer 1,Answer 2,Answer 3 (Optional),Answer 4 (Optional),Time Limit (sec) (Max: 300 seconds),Correct Answer(s) (Only include Answer #)
1,¿Qué es un socket?,Un tipo de base de datos para aplicaciones de red distribuidas,Punto de conexión para comunicación entre dos programas en red,Un protocolo de seguridad para encriptar comunicaciones en Internet,Una librería de Java para crear interfaces gráficas de usuario,25,2
2,¿Qué clase se usa para crear un socket cliente en Java?,ClientSocket para inicializar conexiones desde el cliente al servidor,Socket para conectar con un servidor remoto especificando IP y puerto,ServerSocket para aceptar conexiones entrantes de múltiples clientes simultáneos,NetworkSocket que es la clase base de todas las conexiones TCP,25,2
3,¿Qué clase se usa para crear un socket servidor en Java?,Socket para crear tanto clientes como servidores indistintamente siempre,ServerSocket para escuchar y aceptar conexiones entrantes de clientes,ServerConnection que maneja múltiples conexiones concurrentes automáticamente,SocketServer que es la implementación moderna de servidores TCP/IP,25,2
4,¿Qué método de ServerSocket acepta conexiones?,connect() para establecer conexión con clientes que esperan en cola,accept() bloquea hasta que un cliente se conecta y retorna Socket,listen() configura el servidor en modo escucha de peticiones entrantes,receive() espera datos entrantes de clientes ya conectados previamente,25,2
5,¿Qué parámetros necesita el constructor de Socket?,Solo el nombre del host o dirección IP del servidor destino,Host y puerto del servidor al que conectarse como cliente,Puerto local y puerto remoto para establecer comunicación bidireccional,Un objeto ServerSocket para crear la conexión cliente-servidor automáticamente,25,2
6,¿Qué es un puerto en redes?,Una dirección física de red del dispositivo en la LAN local,Número que identifica un proceso o servicio específico en máquina,Un tipo de socket especial para comunicaciones seguras HTTPS únicamente,Una clase de Java para gestionar múltiples conexiones simultáneas paralelas,25,2
7,¿Qué rango de puertos puede usar tu aplicación?,0-1023 reservados para aplicaciones de usuario sin restricciones,1024-65535 disponibles para aplicaciones personalizadas de usuario,Solo puertos impares entre 8000-9000 por convención de desarrollo,Cualquier número sin límite definido por el sistema operativo host,30,2
8,¿Qué método obtiene el InputStream de un socket?,socket.getInput() para leer bytes del flujo de entrada de datos,socket.getInputStream() para leer datos del socket conectado remoto,socket.readStream() que devuelve un stream de lectura de bytes,socket.input() método abreviado para acceder al flujo de entrada,25,2
9,¿Qué método obtiene el OutputStream de un socket?,socket.getOutput() para escribir datos en el socket de salida,socket.getOutputStream() para enviar datos al socket remoto conectado,socket.writeStream() que retorna flujo de escritura de bytes salientes,socket.output() acceso directo al stream de salida del socket,25,2
10,¿Para qué sirve BufferedReader con sockets?,Para comprimir datos antes de enviarlos por la red optimizando ancho banda,Para leer texto línea por línea de forma eficiente desde InputStream,Solo para leer archivos locales no funciona con sockets de red,Para validar formato de datos recibidos antes de procesarlos en aplicación,30,2
11,¿Para qué sirve PrintWriter con sockets?,Para imprimir logs de depuración en consola del servidor únicamente,Para escribir texto fácilmente al OutputStream del socket remoto,Solo funciona con archivos no puede usarse con sockets de red,Para formatear datos JSON antes de enviarlos por la red TCP/IP,30,2
12,¿Qué hace flush() en PrintWriter?,Limpia el buffer de memoria liberando recursos del sistema operativo,Fuerza el envío inmediato de datos almacenados en buffer de salida,Cierra la conexión del socket de forma ordenada y segura siempre,Valida que los datos escritos tengan formato correcto antes de enviar,25,2
13,¿Qué protocolo usan los sockets por defecto en Java?,UDP para comunicaciones rápidas sin garantía de entrega de paquetes,TCP para comunicación confiable con garantía de entrega ordenada,HTTP para comunicaciones web estándar entre cliente y servidor únicamente,FTP para transferencia de archivos grandes entre sistemas remotos,25,2
14,¿Qué diferencia hay entre TCP y UDP?,TCP es más rápido pero menos confiable que UDP en redes congestionadas,TCP garantiza entrega ordenada UDP es rápido sin garantías de entrega,UDP solo funciona en redes locales TCP en Internet global distribuido,No hay diferencia son sinónimos del mismo protocolo de transporte,30,2
15,¿Qué puerto usa típicamente un servidor de chat en desarrollo?,80 el puerto HTTP estándar para aplicaciones web de producción,8080 o puerto personalizado como 5000 9000 para desarrollo local,Solo puede usar el puerto 443 por seguridad HTTPS obligatoria siempre,Cualquier puerto entre 0-1023 reservados para servicios del sistema,30,2
16,¿Qué es una arquitectura cliente-servidor?,Todos los clientes se conectan directamente entre sí sin servidor central,Clientes se conectan a servidor central que coordina comunicación entre ellos,Una base de datos distribuida donde cada nodo es cliente y servidor,Un patrón de diseño exclusivo para aplicaciones web HTTP modernas,30,2
17,¿Qué problema hay si el servidor acepta un solo cliente?,El servidor consume demasiados recursos de CPU y memoria RAM,Solo un cliente puede conectarse a la vez bloqueando a los demás,Es más seguro limitar a un cliente para evitar ataques DoS distribuidos,No hay problema es la forma estándar de implementar servidores siempre,30,2
18,¿Cómo permitir múltiples clientes simultáneos?,Creando múltiples instancias del servidor en puertos diferentes consecutivos,Usando hilos (threads) para manejar cada cliente en hilo separado,Solo es posible con UDP no con TCP por limitaciones del protocolo,Usando una base de datos que almacene las conexiones activas pendientes,30,2
